"station_name","station_abv","zipcode","lat","long","add","city","state"
"12th St. Oakland City Center","12TH",94612,37.803768,-122.27145,"1245 Broadway","Oakland","CA"
"16th St. Mission (SF)","16TH",94110,37.765062,-122.419694,"2000 Mission Street","San Francisco","CA"
"19th St. Oakland","19TH",94612,37.80835,-122.268602,"1900 Broadway","Oakland","CA"
"24th St. Mission (SF)","24TH",94110,37.75247,-122.418143,"2800 Mission Street","San Francisco","CA"
"Ashby (Berkeley)","ASHB",94703,37.852803,-122.270062,"3100 Adeline Street","Berkeley","CA"
"Antioch","ANTC",94509,37.995388,-121.78042,"1600 Slatten Ranch Road","Antioch","CA"
"Balboa Park (SF)","BALB",94112,37.721585,-122.447506,"401 Geneva Avenue","San Francisco","CA"
"Bay Fair (San Leandro)","BAYF",94578,37.696924,-122.126514,"15242 Hesperian Blvd.","San Leandro","CA"
"Castro Valley","CAST",94546,37.690746,-122.075602,"3301 Norbridge Dr.","Castro Valley","CA"
"Civic Center (SF)","CIVC",94102,37.779732,-122.414123,"1150 Market Street","San Francisco","CA"
"Coliseum","COLS",94621,37.753661,-122.196869,"7200 San Leandro St.","Oakland","CA"
"Colma","COLM",94014,37.684638,-122.466233,"365 D Street","Colma","CA"
"Concord","CONC",94520,37.973737,-122.029095,"1451 Oakland Avenue","Concord","CA"
"Daly City","DALY",94014,37.706121,-122.469081,"500 John Daly Blvd.","Daly City","CA"
"Downtown Berkeley","DBRK",94704,37.870104,-122.268133,"2160 Shattuck Avenue","Berkeley","CA"
"Dublin/Pleasanton","DUBL",94588,37.701687,-121.899179,"5801 Owens Dr.","Pleasanton","CA"
"El Cerrito del Norte","DELN",94530,37.925086,-122.316794,"6400 Cutting Blvd.","El Cerrito","CA"
"El Cerrito Plaza","PLZA",94530,37.902632,-122.298904,"6699 Fairmount Avenue","El Cerrito","CA"
"Embarcadero (SF)","EMBR",94111,37.792874,-122.39702,"298 Market Street","San Francisco","CA"
"Fremont","FRMT",94536,37.557465,-121.976608,"2000 BART Way","Fremont","CA"
"Fruitvale (Oakland)","FTVL",94601,37.774836,-122.224175,"3401 East 12th Street","Oakland","CA"
"Glen Park (SF)","GLEN",94131,37.733064,-122.433817,"2901 Diamond Street","San Francisco","CA"
"Hayward","HAYW",94541,37.669723,-122.087018,"699 'B' Street","Hayward","CA"
"Lafayette","LAFY",94549,37.893176,-122.12463,"3601 Deer Hill Road","Lafayette","CA"
"Lake Merritt (Oakland)","LAKE",94607,37.797027,-122.26518,"800 Madison Street","Oakland","CA"
"MacArthur (Oakland)","MCAR",94609,37.829065,-122.26704,"555 40th Street","Oakland","CA"
"Millbrae","MLBR",94030,37.600271,-122.386702,"200 North Rollins Road","Millbrae","CA"
"Montgomery St. (SF)","MONT",94104,37.789405,-122.401066,"598 Market Street","San Francisco","CA"
"North Berkeley","NBRK",94702,37.873967,-122.28344,"1750 Sacramento Street","Berkeley","CA"
"North Concord/Martinez","NCON",94520,38.003193,-122.024653,"3700 Port Chicago Highway","Concord","CA"
"Oakland Int'l Airport","OAKL",94621,37.713238,-122.212191,"4 Airport Drive","Oakland","CA"
"Orinda","ORIN",94563,37.878361,-122.183791,"11 Camino Pablo","Orinda","CA"
"Pittsburg/Bay Point","PITT",94565,38.018914,-121.945154,"1700 West Leland Road","Pittsburg","CA"
"Pittsburg Center","PCTR",94565,38.016941,-121.889457,"2099 Railroad Avenue","Pittsburg","CA"
"Pleasant Hill","PHIL",94597,37.928468,-122.056012,"1365 Treat Blvd.","Walnut Creek","CA"
"Powell St. (SF)","POWL",94102,37.784471,-122.407974,"899 Market Street","San Francisco","CA"
"Richmond","RICH",94801,37.936853,-122.353099,"1700 Nevin Avenue","Richmond","CA"
"Rockridge (Oakland)","ROCK",94618,37.844702,-122.251371,"5660 College Avenue","Oakland","CA"
"San Bruno","SBRN",94066,37.637761,-122.416287,"1151 Huntington Avenue","San Bruno","CA"
"San Francisco Int'l Airport","SFIA",94128,37.615966,-122.392409,"International Terminal, Level 3","San Francisco Int'l Airport","CA"
"San Leandro","SANL",94577,37.721947,-122.160844,"1401 San Leandro Blvd.","San Leandro","CA"
"South Hayward","SHAY",94544,37.634375,-122.057189,"28601 Dixon Street","Hayward","CA"
"South San Francisco","SSAN",94080,37.664245,-122.44396,"1333 Mission Road","South San Francisco","CA"
"Union City","UCTY",94587,37.59063,-122.017388,"10 Union Square","Union City","CA"
"Warm Springs/South Fremont","WARM",94539,37.502171,-121.939313,"45193 Warm Springs Blvd","Fremont","CA"
"Walnut Creek","WCRK",94596,37.905522,-122.067527,"200 Ygnacio Valley Road","Walnut Creek","CA"
"West Dublin","WDUB",94568,37.699756,-121.92824,"6501 Golden Gate Drive","Dublin","CA"
"West Oakland","WOAK",94607,37.804872,-122.29514,"1451 7th Street","Oakland","CA"
